lcontext,lcontext_highlight,n,rcontext,rcontext_highlight,source,date
,,ни шиша,"  не  видит .  [Рэй Брэдбери, Лев Жданов.
Отпрыск Макгиллахи (1955)] У Гриши с Иваном враз заложило уши. Кричи, не
кричи &#8212; ",видит,Нева: орган Союза советских писателей СССР.,1978
,,Ни шиша,,,,
"Во-вторых , не шибко уповай и на науку ― ты же знаешь , что зачертой в 10 в девятой",,ни шиша,"не видно , но и",видно,Андрей Дмитриев. Голубев,1988
"Против закатного солнца, которое
опять, так некстати сейчас показалось из-за туч, ",,ни шиша,  не ,,,
,,ни шиша,"  не  слышат ! Но как-то договариваются. Без слов, правда. [Николай Якимчук. По дороге в
Канны (2008) ",слышат,,
"&#8211; Да так, привычка,&#8211; смутился Тед.&#8211; Я
ж три месяца не  видел  ",видел,ни шиша,". Вот и привык больше на ощупь полагаться.  [Ольга
Громыко, Андрей Уланов. Космобиолухи (2011)] ",,,
,,ни шиша,"  не  видно : &laquo;Без атмосферы рефракция света полностью
отсутствует&raquo;.  [selena-luna.ru (2011) ",видно,,
"Или даже &quot;Сокровище сердца
моего, приди!&quot; Вопиет буквально. Хотя как разобрали? Не  видно  же ",видно,ни шиша,.  [ .  (2012)],,,
,,Ни шиша,там не  видно ... Я пытался смотреть.  [ .  (2012)] ,видно,,
Флаг ,,ни шиша," не  видно , но похоже итало-грек &quot;Георгиос Авероф&quot;.  [ .  (2014)]",видно,,
"BlueSky, Gelish белый на нем
микроблеск/зеркальный блеск, но его ",,ни шиша, не  видно =(  [ .  (2014)] ,видно,,
Мозг не  видит  ,видит,ни шиша,"  - он инструмент. Видит - только сознание с
помощью органов чувств.  [ .  (2016)]",,,
"Вступил в Френдстаймсы, а чего-то не  увидел  ",увидел,ни шиша,.  [ .  (2016)],,,
,,,,,,
"Делать, работать, мочь, сделать,
выйти ― но ведь очень часто бывало ибывает так , что",,ни шиша,"из такого хозяйства не выходило и не
 выходит …  ",выходило,С. Н. Сергеев-Ценский. Счастливица,1931
"Веду растительную , бездельную жизнь : хорошо ем , читаю ,",,ни шиша,не делаю .  ,делаю,Г. С. Эфрон. Дневники. Т. 1. 1941,1941
Но один ,,ни шиша," он не  сделает , ",сделает,"Лев Никулин, Василий Семенович Матушкин. Любаша.",1966
А если теперь без нужды будут и дальше бастовать да ,,ни шиша,"&quot; [Известия: Литературно-художественный и
общественно-политический журнал, Выпуски 4-6 (1970)] Ходил-ходил целый день,",,,
"Это мог император Петр , а вот",,ни шиша,не может изменить .  ,может,Михаил Веллер. Карьера в Никуда,1988
Земляки,,ни шиша,.  ,,Игра в спички,"1998) // &laquo;Профессионал&raquo;, (1998.07.01"
"Закон - дышло , а",,ни шиша,не вышло …  ,не,Андрей Волос. Недвижимость,"2000) // &laquo;Новый Мир&raquo;, (2001"
"Потому что русский человек ― человек артельный , и в одиночку у него не получается",получается,ни шиша,. ,,"Вячеслав Пьецух. Письма из деревни // &laquo;Октябрь&raquo;,",2001
В не съездишь,съездишь,ни шиша,", если нету
вкладыша  [Андрей РОДКИН, Александр КОЦ, Фото Александра ЗИНЧЕНКО. &laquo;Если она звезда,
так ей и законы не писаны?&raquo; // Комсомольская правда, (2005.07.26)] ",,,
И ,,ни шиша,"  бы не  добились ,
как североамериканские индейцы: добились только резерваций и все.   ",добились,kuriles.ru,2005
В.В.Путин: Дома вы не  делаете  ,делаете,ни шиша,", а здесь работаете!  [government.ru (2006) ",,,
&laquo; перечень,,ни шиша,"вы не сделали &#8211; почему ? Это
безобразие , что семь лет не решается вопрос &raquo;. [Александр ПЕНЗЕВ,  .",сделали,,
А вы ?,,Ни шиша,"вы не сделали ! - резал президент . [Андрей БАРАНОВ, Фото АП/РИА &laquo;Новости&raquo;, Михаила КЛЕМЕНТЬЕВА, пресс-службы
президента. Путин - чиновникам: Вы только в носу ковыряете! // Комсомольская
правда, (2007.09.06)] ",сделали,,
что обычно делаете когда ,,ни шиша,.  (2007)],,,
"У тех, кто сидит на нефтегазовой трубе и ",,ни шиша,  не ,не,,
"Начал он говорить по бумажке , а потом перешел на резкий слог , какбудто от себя : &quot;",,ни шиша,"вы не сделали &quot;, &quot; вы там наковыряете &quot;? ['МЫ ГОВОРИМ НА ХУЛИГАНСКОМ...' // Труд-7,
(2007.09.08)] ",сделали,,
"Когда я вот голый, голым и останусь,
и ",,ни шиша,"  мне не  светит , но вот его, гада, в
дубленке, чтобы раздеть.   ",светит,iraskin.ru,2010
"Льюцци же в одночасье вошел в пантеон
пилотов, которые хоть ",,ни шиша,"  и не  добились  в карьере, но им все равно будет о чем рассказать
внукам.   ",добились,berni.ru,2010
,,ни шиша,"  не  измениться . Надо УК ужесточать, а для начала - прикрыть в нём
все лазейки.  ",измениться,piterhunt.ru,2011
"Но что касается предложенных вами мер
- так это всё есть и сейчас, и ",,ни шиша,  не  работает .  [ .  (2012)],работает,,
А ,,ни шиша,  не  помогает  - надо перетерпеть.  [ .  (2012)] ,помогает,,
"я так и делала,но сайту видимо пофиг где я
набираю..у меня не  пашет  ",пашет,ни шиша,(((  [ .  (2012)] ,,,
"Пока в нашей стране люди не вспомнят про чувство
собственного достоинства, ",,ни шиша,  у нас не  выйдет .  [ .  (2013)],выйдет,,
"Ирина, безусловно, права - без этого чувства не  выйдет  ",выйдет,ни шиша,.  [ .  (2013)] ,,,
,,ни шиша, не  получится .  [ .  (2016)],получится,,
,,,,,,
"это ж в открытую признаться, что ты не состоявшийся
тупица, потолок которого дом 2 &#128533;  что за проектом ",,ни шиша,"  ты не  можешь ...
 [ .  (2016)] ",можешь,,
"Только такие холопы, как
вы, не ",,ни шиша,,,,
"Хотел их ещё матом обложить, но будто забыл
все матюки. &#8212; От меня, говорю, ",,ни шиша,  не  добьётеся . Я Родину не продаю!  [baechka.ru (2000+) ,добьётеся,,
,,ни шиша,.   ,,fc-tom.ru,2000+
А я молча глядел &#8211; хотя в местных картах не ,,ни шиша,"  - и думал, что даже и в этом подозрения мои оказались правильными.   ",,forum.amahrov.ru,2000+
,,ни шиша,  не  поймет !  ,поймет,syntone-spb.ru,2000+
Дык чой-то он за 12 лет ,,ни шиша,  не  сделал  то? Спаситель наш. Аууу! Дядя Путя!  [gidepark.ru (2000+) ,сделал,,
,,,,,,
,,,,,,
,,,,,,
,,ни шиша,", видишь его , да ничем не достанешь &raquo;.  ",,,
"― А что же , он теперь открыл",открыл,ни шиша,. ,,В. П. Мещерский. Мои воспоминания,1897
Мы покончим все это дело сейчас. Я  плачу  за эту комнатушку доллар в день и ,плачу,ни шиша,"  . Доктор Макфейл улыбнулся.  [Сомерсет Моэм, И.Гурова. Дождь (1990) ",,,
Очень ему жалко было семейство . ― А,жалко,ни шиша,". Все ж
застраховано . ",,Георгий Владимов. Три минуты молчания,1969
"Которое кое-что значит для того, кто
его носит, и для других, чей век так же короток, но сверх этого &#8212;",,ни шиша,".  [Иностранная литература: выпуски 1-4.
(1998) ",,,
Объявили .,,Ни шиша,. Минут сорок ждал в толчее .  ,,Дмитрий Каралис. Автопортрет,1999
"У нас каждый получает такие  шиши ,
которые ему положены. Вот ты сколько, заяц? - Да ",шиши,ни шиша,"!
- Значит, тебе столько положено.  [umorist.ru (2000+) ",,,
"Зато понял , что",,ни шиша,ей не сорок лет .  ,,Алексей Иванов,Алексей Маврин). Псоглавцы. Гл. 1-20 (2011
"кто сказал, что он тестер?.. ",,ни шиша,"  подобного  - он кинутый юзверь,
выложивший свою стори в сеть. [ .  (2008)]",подобного,,
"Да блин, Юль, представляешь, пять дней-пять ночей курсач
чертил и ",,ни шиша,.  (2008)],,,
,,ни шиша,  [ .  (2010)],,,
"Ну С-17 все же  относится к классу   &quot;военно-транспортный
самолет&quot;, а С-130 таки садился :-) А вот стратегический бомбардировщик и
шаттл - ",относится к классу,ни шиша,  ;-)  [ .  (2013)],,,
,,ни шиша,.  [ .  (2013)] ,,,
"Второй день
Нобелевской Недели - и опять ",,ни шиша,.  [ .  (2015)],,,
"Успокойтесь, были бы вы красавчик , а то в 30 лет ",,ни шиша,.  (2016)],,,
"Да смотрел я там но не выпадают я 10 волн на перехвате
стоял и ",,ни шиша,.  (2016)] ,,,
,,Ни шиша,",
тянулся за бароном как бы влекомый силой гипноза.  [Василий Аксенов. Вольтерьянцы и
вольтерьянки (2016)] ",,,
"Всё это было построено за два десятка лет после
тяжелейшей для нашей страны войны, а что ",,ни шиша,.  (2017)] ,,,
Пробую разделиться - ,,ни шиша,.  (2017)] ,,,
,,ни шиша,  свежего  говорить  не,говорить ,,
,,ни шиша,,,,
,,,,,,
,,,,,,
"― Как это вы сказали ? ― Я говорю : шиши ля фамм . ― Ага .  только шиши ― не шиши , а",шиши,ни шиша,не вышишешь .  ,вышишешь,И. Л. Солоневич. Две силы,1953
"что &laquo; ― зверь , слона убьет , а",,ни шиша,"не схватывает …&raquo; [Аркадий Стругацкий, Борис Стругацкий. Понедельник начинается в субботу
(1964)] ",схватывает,,
― Самовар - поставила ? Не чует,чует,ни шиша,.   ,,Василий Белов. Плотницкие рассказы,1968
"Все Пономареву прут, а нам",,ни шиша,.  ,,,
Ведь сам-то,,ни шиша,не  ,,,
,,ни шиша,  не  полетаешь .  [3dway.ru (2006) ,полетаешь,,
,,ни шиша,  не  опубликовали &raquo;.  [ bg.ru (2007 )] ,опубликовали,,
короче снова ,,ни шиша,  не  учимся  это злит маму и радует меня  [beon.ru (2011) ,учимся,,
"А даже если люди и не выйдут, то от России
после этого в любом случае ",,ни шиша,  уже не  останется .  [warandpeace.ru (2011) ,останется,,
"Постоит &laquo; под замком ,",,ни шиша,"его не
 тронут .   а тут ",тронут,Алексей Иванов,Алексей Маврин). Псоглавцы. Гл. 1-20 (2011
"Как-то пробовал ловить на зимнюю
блесну и балансир - не  поймал  ",поймал,ни шиша,", поклёвок не видел.  [ .  (2016)]",,,
,,ни шиша,.  (2016)],,,
Потому ,,ни шиша,"  не  докажешь ,
он подписал или нет  [ .  (2017)]",докажешь,,
,,ни шиша,  не  пускает  изученную  информацию  в судебное дело.   ,пускает,usde.ru,2000+
,,ни шиша,  .  [subarucentre.ru (2000+) ,,,
